,No resource,Hard to rewrite,No idea to tune,Well-tuned,No idea to improve,No chance to investigate,Not having the tools,No idea to find bottlenecks,other
"overall
(833)",38.055222088835535,18.367346938775512,12.48499399759904,9.483793517406964,6.002400960384153,5.762304921968788,3.481392557022809,2.1608643457382954,4.201680672268908
"Europe:France
(123)",43.08943089430895,18.69918699186992,13.008130081300814,8.130081300813007,7.317073170731707,4.878048780487805,1.6260162601626018,0.8130081300813009,2.4390243902439024
"Europe:Germany
(154)",49.35064935064935,17.532467532467532,9.740259740259742,9.740259740259742,3.2467532467532463,3.2467532467532463,0.0,1.948051948051948,5.194805194805195
"Europe:Italy
(55)",34.54545454545455,12.727272727272727,12.727272727272727,12.727272727272727,9.090909090909092,1.8181818181818181,7.2727272727272725,5.454545454545454,3.6363636363636362
"Europe:UK
(65)",46.15384615384615,10.76923076923077,12.307692307692308,6.153846153846154,0.0,7.6923076923076925,6.153846153846154,0.0,10.76923076923077
"Europe:others
(140)",38.57142857142858,21.428571428571427,12.142857142857142,7.142857142857142,4.285714285714286,5.714285714285714,2.142857142857143,2.142857142857143,6.428571428571428
"Japan
(64)",42.1875,25.0,14.0625,1.5625,6.25,7.8125,0.0,1.5625,1.5625
"Russia
(93)",20.43010752688172,16.129032258064516,19.35483870967742,16.129032258064516,7.526881720430108,8.60215053763441,7.526881720430108,3.225806451612903,1.0752688172043012
"USA
(57)",36.84210526315789,15.789473684210526,10.526315789473683,12.280701754385964,5.263157894736842,7.017543859649122,5.263157894736842,1.7543859649122806,5.263157894736842
