,No investigation,Framework,PGAS,DSL,LL comm,other
overall(812),49.50738916256158,35.59113300492611,17.48768472906404,10.344827586206897,6.403940886699508,3.201970443349754
Europe:France(116),43.96551724137931,35.3448275862069,14.655172413793101,15.517241379310345,6.896551724137931,5.172413793103448
Europe:Germany(153),56.209150326797385,30.718954248366014,13.725490196078432,5.228758169934641,5.88235294117647,6.535947712418301
Europe:Italy(52),59.61538461538461,26.923076923076923,11.538461538461538,11.538461538461538,1.9230769230769231,1.9230769230769231
Europe:UK(63),44.44444444444444,38.095238095238095,26.984126984126984,23.809523809523807,3.1746031746031744,1.5873015873015872
Europe:others(139),53.23741007194245,33.81294964028777,21.58273381294964,8.633093525179856,6.474820143884892,1.4388489208633095
Japan(64),32.8125,45.3125,25.0,10.9375,14.0625,1.5625
Russia(92),50.0,38.04347826086957,11.956521739130435,6.521739130434782,1.0869565217391304,2.1739130434782608
USA(55),40.0,40.0,27.27272727272727,10.909090909090908,16.363636363636363,5.454545454545454
