,>10,5-10,2-5,<2
"overall
(842)",35.39192399049881,23.990498812351543,23.159144893111637,17.458432304038006
"Europe:France
(123)",38.21138211382114,27.64227642276423,19.51219512195122,14.634146341463413
"Europe:Germany
(158)",31.645569620253166,22.78481012658228,29.11392405063291,16.455696202531644
"Europe:Italy
(57)",31.57894736842105,15.789473684210526,24.561403508771928,28.07017543859649
"Europe:UK
(67)",43.28358208955223,28.35820895522388,16.417910447761194,11.940298507462686
"Europe:others
(141)",33.33333333333333,28.368794326241137,21.98581560283688,16.312056737588655
"Japan
(64)",59.375,12.5,21.875,6.25
"Russia
(94)",23.404255319148938,23.404255319148938,30.851063829787233,22.340425531914892
"USA
(56)",48.214285714285715,25.0,17.857142857142858,8.928571428571429
