,Univ,Gov,SW,Priv,HW,other
"overall
(847)",57.497048406139314,27.036599763872495,4.8406139315230226,4.250295159386068,2.5974025974025974,3.778040141676505
"Europe:France
(125)",40.0,41.6,2.4,7.199999999999999,0.0,8.799999999999999
"Europe:Germany
(159)",55.34591194968554,28.930817610062892,8.176100628930817,2.515723270440252,1.257861635220126,3.7735849056603774
"Europe:Italy
(57)",47.368421052631575,33.33333333333333,1.7543859649122806,7.017543859649122,0.0,10.526315789473683
"Europe:UK
(66)",77.27272727272727,16.666666666666664,4.545454545454546,1.5151515151515151,0.0,0.0
"Europe:others
(143)",72.72727272727273,17.482517482517483,1.3986013986013985,4.895104895104895,0.6993006993006993,2.797202797202797
"Japan
(64)",60.9375,15.625,6.25,4.6875,12.5,0.0
"Russia
(94)",59.57446808510638,25.53191489361702,6.382978723404255,4.25531914893617,3.1914893617021276,1.0638297872340425
"USA
(58)",50.0,25.862068965517242,3.4482758620689653,3.4482758620689653,13.793103448275861,3.4482758620689653
