,SINGLE,FUNNELED,SERIALIZED,MULTIPLE,never used,No idea
overall(830),28.674698795180724,17.46987951807229,11.927710843373495,31.44578313253012,32.16867469879518,20.240963855421686
Europe:France(120),33.33333333333333,28.333333333333332,17.5,43.333333333333336,23.333333333333332,13.333333333333334
Europe:Germany(152),32.23684210526316,13.815789473684212,11.18421052631579,34.21052631578947,30.263157894736842,23.026315789473685
Europe:Italy(57),26.31578947368421,17.543859649122805,5.263157894736842,22.807017543859647,33.33333333333333,26.31578947368421
Europe:UK(66),37.878787878787875,27.27272727272727,21.21212121212121,34.84848484848485,33.33333333333333,15.151515151515152
Europe:others(139),28.05755395683453,16.546762589928058,10.071942446043165,28.05755395683453,31.654676258992804,18.705035971223023
Japan(64),17.1875,21.875,12.5,28.125,32.8125,18.75
Russia(93),19.35483870967742,6.451612903225806,7.526881720430108,20.43010752688172,47.31182795698925,26.881720430107524
USA(58),34.48275862068966,20.689655172413794,15.517241379310345,48.275862068965516,25.862068965517242,12.068965517241379
