,Num-Lib.,"Lang, Num-Lib.",OS/R,Lang,etc.
"overall
(848 / 848)",39.386792452830186,5.660377358490567,4.127358490566038,3.0660377358490565,47.759433962263905
"FR
(125 / 848)",44.800000000000004,6.4,4.0,1.6,43.19999999999997
"GR
(158 / 848)",47.46835443037975,2.5316455696202533,2.5316455696202533,0.6329113924050633,46.83544303797468
"IT
(57 / 848)",43.859649122807014,7.017543859649122,1.7543859649122806,7.017543859649122,40.35087719298245
"UK
(67 / 848)",43.28358208955223,5.970149253731343,1.4925373134328357,1.4925373134328357,47.761194029850714
"eu
(143 / 848)",36.36363636363637,10.48951048951049,0.6993006993006993,0.6993006993006993,51.74825174825179
"JP
(64 / 848)",29.6875,6.25,9.375,7.8125,46.875
"RU
(94 / 848)",40.42553191489361,1.0638297872340425,2.127659574468085,2.127659574468085,54.25531914893614
"US
(58 / 848)",29.310344827586203,3.4482758620689653,13.793103448275861,3.4482758620689653,50.000000000000014
"others
(82 / 848)",28.04878048780488,7.317073170731707,8.536585365853659,9.75609756097561,46.34146341463413
