,Yes,"Yes, but no reason","No, too small","No, scattered",other
"overall
(828)",39.97584541062802,7.246376811594203,14.734299516908212,33.33333333333333,4.710144927536232
"Europe:France
(120)",40.833333333333336,7.5,8.333333333333332,36.666666666666664,6.666666666666667
"Europe:Germany
(154)",42.2077922077922,3.2467532467532463,9.090909090909092,38.961038961038966,6.493506493506493
"Europe:Italy
(54)",46.2962962962963,11.11111111111111,12.962962962962962,27.77777777777778,1.8518518518518516
"Europe:UK
(66)",45.45454545454545,0.0,12.121212121212121,30.303030303030305,12.121212121212121
"Europe:others
(139)",41.726618705035975,5.755395683453238,12.23021582733813,33.81294964028777,6.474820143884892
"Japan
(64)",39.0625,15.625,20.3125,23.4375,1.5625
"Russia
(93)",24.731182795698924,7.526881720430108,35.483870967741936,31.182795698924732,1.0752688172043012
"USA
(57)",45.614035087719294,7.017543859649122,8.771929824561402,36.84210526315789,1.7543859649122806
