,Portability,2,3,4,Performance
"overall
(822)",5.109489051094891,11.313868613138686,38.68613138686132,30.656934306569344,14.233576642335766
"Europe:France
(122)",6.557377049180328,11.475409836065573,48.36065573770492,25.40983606557377,8.19672131147541
"Europe:Germany
(154)",4.545454545454546,15.584415584415584,34.41558441558442,34.41558441558442,11.03896103896104
"Europe:Italy
(55)",9.090909090909092,10.909090909090908,36.36363636363637,29.09090909090909,14.545454545454545
"Europe:UK
(66)",4.545454545454546,13.636363636363635,42.42424242424242,24.242424242424242,15.151515151515152
"Europe:others
(139)",3.597122302158273,7.913669064748201,43.16546762589928,30.935251798561154,14.388489208633093
"Japan
(64)",6.25,17.1875,34.375,31.25,10.9375
"Russia
(92)",6.521739130434782,9.782608695652174,26.08695652173913,33.69565217391305,23.91304347826087
"USA
(58)",5.172413793103448,6.896551724137931,43.103448275862064,29.310344827586203,15.517241379310345
