,No,Dyn. process,Topologies,One-sided,Error,Communicator,Datatypes,Collectives,other
overall(745),41.47651006711409,36.77852348993289,16.91275167785235,13.825503355704699,9.664429530201343,8.456375838926174,7.785234899328859,1.476510067114094,2.684563758389262
Europe:France(106),32.075471698113205,43.39622641509434,19.81132075471698,24.528301886792452,8.49056603773585,9.433962264150944,13.20754716981132,0.9433962264150944,0.9433962264150944
Europe:Germany(136),41.17647058823529,35.294117647058826,13.970588235294118,16.911764705882355,11.76470588235294,8.088235294117647,5.147058823529411,0.0,5.88235294117647
Europe:Italy(51),50.98039215686274,29.411764705882355,11.76470588235294,3.9215686274509802,3.9215686274509802,13.725490196078432,5.88235294117647,0.0,0.0
Europe:UK(61),49.18032786885246,45.90163934426229,19.672131147540984,13.114754098360656,3.278688524590164,8.19672131147541,3.278688524590164,0.0,0.0
Europe:others(123),40.65040650406504,38.21138211382114,21.138211382113823,13.008130081300814,9.75609756097561,4.0650406504065035,8.130081300813007,3.2520325203252036,3.2520325203252036
Japan(61),31.147540983606557,34.42622950819672,13.114754098360656,11.475409836065573,16.39344262295082,14.754098360655737,13.114754098360656,1.639344262295082,3.278688524590164
Russia(85),40.0,40.0,18.823529411764707,15.294117647058824,7.0588235294117645,14.117647058823529,9.411764705882353,2.3529411764705883,2.3529411764705883
USA(49),32.6530612244898,46.93877551020408,18.367346938775512,8.16326530612245,14.285714285714285,4.081632653061225,10.204081632653061,2.0408163265306123,4.081632653061225
