,(no book),Using MPI,MPI: complete Ref,Parallel Programming,Parallel Programming in C,Beginning MPI,other
overall(646),43.034055727554176,33.746130030959755,20.588235294117645,18.26625386996904,8.04953560371517,3.4055727554179565,7.430340557275541
Europe:France(86),47.674418604651166,33.72093023255814,24.418604651162788,10.465116279069768,3.488372093023256,0.0,4.651162790697675
Europe:Germany(108),47.22222222222222,32.407407407407405,13.88888888888889,16.666666666666664,8.333333333333332,2.7777777777777777,4.62962962962963
Europe:Italy(46),52.17391304347826,26.08695652173913,21.73913043478261,17.391304347826086,8.695652173913043,0.0,8.695652173913043
Europe:UK(55),47.27272727272727,45.45454545454545,27.27272727272727,21.818181818181817,1.8181818181818181,1.8181818181818181,9.090909090909092
Europe:others(107),47.66355140186916,33.64485981308411,23.364485981308412,20.5607476635514,7.476635514018691,1.8691588785046727,3.7383177570093453
Japan(51),23.52941176470588,43.13725490196079,19.607843137254903,25.49019607843137,9.803921568627452,3.9215686274509802,15.686274509803921
Russia(71),50.70422535211267,12.676056338028168,8.450704225352112,8.450704225352112,11.267605633802818,5.633802816901409,15.492957746478872
USA(52),25.0,61.53846153846154,44.230769230769226,19.230769230769234,1.9230769230769231,1.9230769230769231,5.769230769230769
