,No choice,No reason,Familiar,I like,Said to use
"overall
(840)",36.42857142857142,22.26190476190476,18.928571428571427,13.80952380952381,8.571428571428571
"Europe:France
(123)",34.959349593495936,23.577235772357724,17.073170731707318,12.195121951219512,12.195121951219512
"Europe:Germany
(157)",47.13375796178344,18.471337579617835,13.375796178343949,12.738853503184714,8.280254777070063
"Europe:Italy
(56)",32.142857142857146,21.428571428571427,26.785714285714285,8.928571428571429,10.714285714285714
"Europe:UK
(65)",52.307692307692314,23.076923076923077,9.230769230769232,4.615384615384616,10.76923076923077
"Europe:others
(142)",35.2112676056338,18.30985915492958,19.014084507042252,17.6056338028169,9.859154929577464
"Japan
(64)",37.5,21.875,18.75,15.625,6.25
"Russia
(92)",30.434782608695656,32.608695652173914,17.391304347826086,17.391304347826086,2.1739130434782608
"USA
(58)",27.586206896551722,15.517241379310345,39.6551724137931,12.068965517241379,5.172413793103448
