,PMPI,Persistent,Dyn. process,One-sided,Communicator,Point-to-point,Datatypes,Collectives,with OpenMP
overall(704),66.05113636363636,61.50568181818182,54.40340909090909,18.607954545454543,17.47159090909091,12.926136363636365,12.784090909090908,12.215909090909092,12.215909090909092
Europe:France(103),66.01941747572816,58.252427184466015,57.28155339805825,18.446601941747574,17.475728155339805,12.62135922330097,14.563106796116504,10.679611650485436,12.62135922330097
Europe:Germany(131),65.64885496183206,64.8854961832061,56.48854961832062,15.267175572519085,14.50381679389313,8.396946564885496,8.396946564885496,9.16030534351145,9.923664122137405
Europe:Italy(52),67.3076923076923,71.15384615384616,69.23076923076923,15.384615384615385,15.384615384615385,17.307692307692307,15.384615384615385,19.230769230769234,13.461538461538462
Europe:UK(58),67.24137931034483,72.41379310344827,58.620689655172406,22.413793103448278,22.413793103448278,10.344827586206897,10.344827586206897,10.344827586206897,12.068965517241379
Europe:others(119),68.90756302521008,61.34453781512605,62.18487394957983,26.05042016806723,22.689075630252102,18.487394957983195,19.327731092436977,19.327731092436977,14.285714285714285
Japan(50),54.0,66.0,44.0,14.000000000000002,12.0,12.0,8.0,8.0,10.0
Russia(86),75.5813953488372,60.46511627906976,44.18604651162791,17.441860465116278,16.27906976744186,10.465116279069768,12.790697674418606,9.30232558139535,11.627906976744185
USA(33),54.54545454545454,36.36363636363637,42.42424242424242,12.121212121212121,15.151515151515152,15.151515151515152,15.151515151515152,12.121212121212121,18.181818181818183
