,Satisfied,Additional comm. opt.,Multi-thread,Other opt,Latency,Bandwidth,Injection rate,Asynch progress,other
"overall
(773)",22.509702457956017,19.404915912031047,15.91203104786546,12.807244501940493,12.677878395860285,8.020698576972833,2.58732212160414,0.258732212160414,5.821474773609314
"Europe:France
(113)",18.58407079646018,20.353982300884958,20.353982300884958,19.469026548672566,7.079646017699115,2.6548672566371683,1.7699115044247788,0.0,9.734513274336283
"Europe:Germany
(141)",29.078014184397162,22.69503546099291,8.51063829787234,11.347517730496454,14.893617021276595,6.382978723404255,1.4184397163120568,0.0,5.673758865248227
"Europe:Italy
(52)",26.923076923076923,21.153846153846153,11.538461538461538,9.615384615384617,15.384615384615385,7.6923076923076925,5.769230769230769,0.0,1.9230769230769231
"Europe:UK
(65)",26.153846153846157,16.923076923076923,27.692307692307693,6.153846153846154,9.230769230769232,4.615384615384616,0.0,0.0,9.230769230769232
"Europe:others
(133)",18.045112781954884,19.548872180451127,18.796992481203006,12.781954887218044,15.037593984962406,9.022556390977442,2.2556390977443606,0.0,4.511278195488721
"Japan
(63)",11.11111111111111,22.22222222222222,17.46031746031746,7.936507936507936,11.11111111111111,22.22222222222222,3.1746031746031744,0.0,4.761904761904762
"Russia
(89)",39.325842696629216,17.97752808988764,10.112359550561797,8.98876404494382,11.235955056179774,8.98876404494382,1.1235955056179776,0.0,2.247191011235955
"USA
(53)",15.09433962264151,9.433962264150944,13.20754716981132,18.867924528301888,16.9811320754717,1.8867924528301887,9.433962264150944,3.7735849056603774,11.320754716981133
