,Internet,Other lec.,Standard,School,Books,Never learned,other
overall(847),51.82998819362455,51.71192443919716,38.84297520661157,34.710743801652896,33.41204250295159,3.0696576151121606,6.02125147579693
Europe:France(124),48.38709677419355,53.2258064516129,34.67741935483871,41.12903225806452,21.774193548387096,2.4193548387096775,5.64516129032258
Europe:Germany(158),56.32911392405063,63.29113924050633,46.835443037974684,20.88607594936709,25.31645569620253,3.79746835443038,8.227848101265822
Europe:Italy(57),40.35087719298245,61.40350877192983,29.82456140350877,31.57894736842105,28.07017543859649,0.0,5.263157894736842
Europe:UK(66),69.6969696969697,51.515151515151516,34.84848484848485,36.36363636363637,40.909090909090914,0.0,10.606060606060606
Europe:others(144),45.83333333333333,54.861111111111114,35.41666666666667,45.83333333333333,34.02777777777778,6.25,9.027777777777777
Japan(64),42.1875,34.375,39.0625,31.25,40.625,4.6875,1.5625
Russia(94),59.57446808510638,45.744680851063826,50.0,44.680851063829785,34.04255319148936,1.0638297872340425,0.0
USA(57),43.859649122807014,43.859649122807014,45.614035087719294,33.33333333333333,52.63157894736842,1.7543859649122806,10.526315789473683
