,OMP,CUDA,No,Pthread,OACC,OCL,other
overall(828),69.68599033816425,27.898550724637683,22.946859903381643,18.719806763285025,9.541062801932366,5.193236714975845,3.985507246376811
Europe:France(119),70.58823529411765,21.008403361344538,20.168067226890756,27.73109243697479,10.92436974789916,7.563025210084033,5.88235294117647
Europe:Germany(156),73.71794871794873,17.94871794871795,26.282051282051285,18.58974358974359,7.051282051282051,3.8461538461538463,5.128205128205128
Europe:Italy(54),62.96296296296296,24.074074074074073,35.18518518518518,7.4074074074074066,5.555555555555555,7.4074074074074066,0.0
Europe:UK(65),72.3076923076923,18.461538461538463,20.0,24.615384615384617,10.76923076923077,0.0,3.076923076923077
Europe:others(140),71.42857142857143,36.42857142857142,20.0,14.285714285714285,12.142857142857142,8.571428571428571,3.571428571428571
Japan(64),81.25,34.375,12.5,21.875,18.75,1.5625,3.125
Russia(91),59.34065934065934,36.26373626373626,27.472527472527474,12.087912087912088,0.0,4.395604395604396,2.197802197802198
USA(57),77.19298245614034,45.614035087719294,8.771929824561402,29.82456140350877,10.526315789473683,8.771929824561402,5.263157894736842
