,Online docs,Internet,MPI standard,Colleagues,Books,I know all,other
overall(842),68.76484560570071,67.2209026128266,51.06888361045131,22.327790973871732,12.826603325415679,5.463182897862233,1.3064133016627077
Europe:France(124),75.0,69.35483870967742,41.935483870967744,26.61290322580645,8.870967741935484,5.64516129032258,1.6129032258064515
Europe:Germany(157),64.3312101910828,67.51592356687898,69.42675159235668,27.388535031847134,7.006369426751593,5.7324840764331215,1.2738853503184715
Europe:Italy(57),70.17543859649122,70.17543859649122,45.614035087719294,21.052631578947366,8.771929824561402,3.508771929824561,0.0
Europe:UK(66),80.3030303030303,77.27272727272727,48.484848484848484,31.818181818181817,27.27272727272727,10.606060606060606,1.5151515151515151
Europe:others(141),71.63120567375887,69.50354609929079,43.262411347517734,21.98581560283688,6.382978723404255,4.964539007092199,2.8368794326241136
Japan(64),59.375,60.9375,54.6875,12.5,18.75,0.0,0.0
Russia(93),66.66666666666666,70.96774193548387,53.76344086021505,21.50537634408602,16.129032258064516,5.376344086021505,1.0752688172043012
USA(58),72.41379310344827,58.620689655172406,56.896551724137936,13.793103448275861,17.24137931034483,10.344827586206897,1.7241379310344827
