,Default,Always,Mostly,Sometimes,Never
"overall
(811)",21.8249075215783,13.316892725030826,19.112207151664613,31.935881627620223,13.81011097410604
"Europe:France
(122)",16.39344262295082,13.114754098360656,18.0327868852459,35.24590163934426,17.21311475409836
"Europe:Germany
(154)",22.727272727272727,14.935064935064934,22.727272727272727,28.57142857142857,11.03896103896104
"Europe:Italy
(56)",12.5,17.857142857142858,17.857142857142858,37.5,14.285714285714285
"Europe:UK
(64)",37.5,17.1875,17.1875,20.3125,7.8125
"Europe:others
(141)",19.858156028368796,15.602836879432624,18.439716312056735,30.49645390070922,15.602836879432624
"Japan
(61)",27.86885245901639,4.918032786885246,21.311475409836063,34.42622950819672,11.475409836065573
"Russia
(89)",11.235955056179774,11.235955056179774,16.853932584269664,43.82022471910113,16.853932584269664
"USA
(57)",26.31578947368421,8.771929824561402,19.298245614035086,33.33333333333333,12.280701754385964
