,Debugging,Algorithm,Tuning,Decomposition,Workaround,Finding MPI routines,other
"overall
(841)",32.461355529131986,24.25683709869203,18.07372175980975,11.652794292508919,6.302021403091558,4.637336504161712,2.6159334126040426
"Europe:France
(124)",33.87096774193548,23.387096774193548,21.774193548387096,7.258064516129033,8.870967741935484,2.4193548387096775,2.4193548387096775
"Europe:Germany
(157)",34.394904458598724,25.477707006369428,18.471337579617835,8.9171974522293,7.643312101910828,1.2738853503184715,3.821656050955414
"Europe:Italy
(57)",36.84210526315789,28.07017543859649,7.017543859649122,15.789473684210526,1.7543859649122806,3.508771929824561,7.017543859649122
"Europe:UK
(66)",22.727272727272727,31.818181818181817,21.21212121212121,13.636363636363635,7.575757575757576,1.5151515151515151,1.5151515151515151
"Europe:others
(142)",28.87323943661972,28.169014084507044,16.19718309859155,11.267605633802818,8.450704225352112,5.633802816901409,1.4084507042253522
"Japan
(63)",41.269841269841265,12.698412698412698,26.984126984126984,7.936507936507936,3.1746031746031744,6.349206349206349,1.5873015873015872
"Russia
(93)",40.86021505376344,20.43010752688172,12.903225806451612,13.978494623655912,1.0752688172043012,8.60215053763441,2.1505376344086025
"USA
(56)",26.785714285714285,32.142857142857146,7.142857142857142,26.785714285714285,5.357142857142857,0.0,1.7857142857142856
