,Collectives,Point-to-pint,Datatypes,with OpenMP,Communicator,One-sided,PMPI,Persistent,Dyn. process,other
overall(831),89.04933814681108,85.43922984356198,62.69554753309266,57.52105896510229,49.57882069795427,27.196149217809868,8.062575210589651,7.3405535499398304,6.137184115523466,2.406738868832732
Europe:France(118),91.52542372881356,90.67796610169492,63.559322033898304,65.2542372881356,50.847457627118644,19.491525423728813,6.779661016949152,9.322033898305085,3.389830508474576,2.5423728813559325
Europe:Germany(155),94.19354838709677,87.74193548387098,63.87096774193548,53.5483870967742,60.0,29.677419354838708,10.967741935483872,8.38709677419355,5.806451612903226,3.225806451612903
Europe:Italy(57),89.47368421052632,82.45614035087719,70.17543859649122,49.122807017543856,49.122807017543856,35.08771929824561,7.017543859649122,1.7543859649122806,7.017543859649122,1.7543859649122806
Europe:UK(63),98.4126984126984,95.23809523809523,76.19047619047619,65.07936507936508,52.38095238095239,31.746031746031743,6.349206349206349,9.523809523809524,4.761904761904762,3.1746031746031744
Europe:others(141),90.0709219858156,85.1063829787234,63.12056737588653,62.4113475177305,46.808510638297875,27.659574468085108,6.382978723404255,5.673758865248227,6.382978723404255,4.25531914893617
Japan(64),90.625,78.125,46.875,65.625,42.1875,31.25,9.375,6.25,6.25,1.5625
Russia(92),83.69565217391305,82.6086956521739,53.2608695652174,46.73913043478261,38.04347826086957,21.73913043478261,7.608695652173914,5.434782608695652,5.434782608695652,2.1739130434782608
USA(58),89.65517241379311,89.65517241379311,68.96551724137932,58.620689655172406,60.3448275862069,44.827586206896555,18.96551724137931,10.344827586206897,6.896551724137931,0.0
