,OMPI,Intel,MPICH,MVA,Cray,IBM,Fujitsu,MS,HPE,NEC,No idea,MPC,Sunway,Tianhe,other
overall(847),85.36009445100355,61.629279811097994,55.489964580873675,20.66115702479339,17.119244391971662,10.861865407319952,3.4238488783943333,3.187721369539551,2.715466351829988,2.715466351829988,1.1806375442739079,0.9445100354191263,0.5903187721369539,0.3541912632821724,3.187721369539551
Europe:France(123),93.4959349593496,68.29268292682927,56.91056910569105,11.38211382113821,4.0650406504065035,16.260162601626014,0.0,0.8130081300813009,4.0650406504065035,0.8130081300813009,2.4390243902439024,6.504065040650407,0.0,0.0,8.94308943089431
Europe:Germany(159),85.53459119496856,71.69811320754717,54.088050314465406,19.49685534591195,18.238993710691823,13.20754716981132,0.628930817610063,3.1446540880503147,1.8867924528301887,6.289308176100629,1.257861635220126,0.0,0.0,0.0,6.918238993710692
Europe:Italy(57),89.47368421052632,66.66666666666666,42.10526315789473,15.789473684210526,8.771929824561402,7.017543859649122,0.0,1.7543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe:UK(67),91.04477611940298,64.17910447761194,74.6268656716418,32.83582089552239,34.32835820895522,7.462686567164178,0.0,1.4925373134328357,8.955223880597014,0.0,0.0,0.0,0.0,0.0,1.4925373134328357
Europe:others(144),91.66666666666666,57.638888888888886,58.333333333333336,23.61111111111111,32.63888888888889,8.333333333333332,1.3888888888888888,2.083333333333333,1.3888888888888888,3.4722222222222223,0.6944444444444444,0.0,0.0,0.0,0.0
Japan(64),79.6875,59.375,53.125,28.125,6.25,0.0,40.625,1.5625,7.8125,7.8125,1.5625,0.0,0.0,0.0,1.5625
Russia(93),76.34408602150538,55.91397849462365,53.76344086021505,10.75268817204301,2.1505376344086025,8.60215053763441,0.0,10.75268817204301,0.0,0.0,1.0752688172043012,0.0,0.0,0.0,1.0752688172043012
USA(58),81.03448275862068,51.724137931034484,60.3448275862069,34.48275862068966,39.6551724137931,27.586206896551722,0.0,3.4482758620689653,1.7241379310344827,1.7241379310344827,0.0,0.0,0.0,0.0,3.4482758620689653
